EdgeNo	F-Node	T-Node	r	x	b	Switch	SwitchState	maxAmp	type	ID	name	desc
5398	3609	3677	0	0	0	Y	1	0	断路器	SWITCH_709440188598900	SWITCH_709440188598900	盐田临时站.620
5399	3662	3671	0	0	0	Y	1	0	断路器	SWITCH_709440188642700	SWITCH_709440188642700	盐田临时站.613
16566	13436	13515	0	0	0	Y	1	0	刀闸	SWITCH_709440142273900	SWITCH_709440142273900	盐田临时站.6024
16571	13471	13491	0	0	0	Y	1	0	刀闸	SWITCH_709440238549800	SWITCH_709440238549800	盐田临时站.6034
16573	13430	13522	0	0	0	Y	1	0	刀闸	SWITCH_709440142367300	SWITCH_709440142367300	盐田临时站.6044
16574	13423	13429	0	0	0	Y	1	0	刀闸	SWITCH_709440216678500	SWITCH_709440216678500	盐田临时站.6034
16577	13415	13504	0	0	0	Y	1	0	刀闸	SWITCH_709440142276500	SWITCH_709440142276500	盐田临时站.6044
16579	13418	13446	0	0	0	Y	1	0	刀闸	SWITCH_709440142277800	SWITCH_709440142277800	盐田临时站.6054
16584	13518	13456	0	0	0	Y	1	0	刀闸	SWITCH_709440142330800	SWITCH_709440142330800	盐田临时站.6054
16586	13539	13455	0	0	0	Y	1	0	刀闸	SWITCH_709440238550400	SWITCH_709440238550400	盐田临时站.6054
16588	13412	13527	0	0	0	Y	1	0	刀闸	SWITCH_709440142368600	SWITCH_709440142368600	盐田临时站.6054
16591	13500	13417	0	0	0	Y	1	0	刀闸	SWITCH_709440238548000	SWITCH_709440238548000	盐田临时站.6044
16599	13473	13459	0	0	0	Y	1	0	刀闸	SWITCH_709440142329500	SWITCH_709440142329500	盐田临时站.6044
16611	13413	13488	0	0	0	Y	1	0	刀闸	SWITCH_709440216676700	SWITCH_709440216676700	盐田临时站.6044
16612	13492	13475	0	0	0	Y	1	0	刀闸	SWITCH_709440238551600	SWITCH_709440238551600	盐田临时站.6024
16617	13533	13463	0	0	0	Y	1	0	刀闸	SWITCH_709440216679100	SWITCH_709440216679100	盐田临时站.6054
16619	13461	13422	0	0	0	Y	1	0	刀闸	SWITCH_709440216680300	SWITCH_709440216680300	盐田临时站.6024
16621	13478	13427	0	0	0	Y	1	0	刀闸	SWITCH_709440142275200	SWITCH_709440142275200	盐田临时站.6034
16628	13431	13490	0	0	0	Y	1	0	刀闸	SWITCH_709440238546800	SWITCH_709440238546800	盐田临时站.61PT
16708	13431	13539	0	0	0	Y	1	0	断路器	SWITCH_709440238544600	SWITCH_709440238544600	盐田临时站.605
16709	13425	13485	0	0	0	Y	1	0	断路器	SWITCH_709440238269600	SWITCH_709440238269600	盐田临时站.601
16710	13447	13449	0	0	0	Y	1	0	断路器	SWITCH_700000879825102	SWITCH_700000879825102	盐田临时站.602
16711	13445	13472	0	0	0	Y	1	0	断路器	SWITCH_709220307907000	SWITCH_709220307907000	盐田临时站.61PT
16712	13428	13467	0	0	0	Y	1	0	断路器	SWITCH_709440238341700	SWITCH_709440238341700	盐田临时站.805
16713	13464	13498	0	0	0	Y	1	0	断路器	SWITCH_709220051542800	SWITCH_709220051542800	盐田临时站.604
16714	13447	13501	0	0	0	Y	1	0	断路器	SWITCH_700000879825202	SWITCH_700000879825202	盐田临时站.603
16715	13474	13532	0	0	0	Y	1	0	断路器	SWITCH_709220307331000	SWITCH_709220307331000	盐田临时站.61PT
16716	13510	13448	0	0	0	Y	1	0	断路器	SWITCH_709440145111500	SWITCH_709440145111500	盐田临时站.65PT
16717	13464	13508	0	0	0	Y	1	0	断路器	SWITCH_709220051543400	SWITCH_709220051543400	盐田临时站.603
16718	13425	13437	0	0	0	Y	1	0	断路器	SWITCH_709440238271800	SWITCH_709440238271800	盐田临时站.803
16719	13509	13487	0	0	0	Y	1	0	断路器	SWITCH_709220302047000	SWITCH_709220302047000	盐田临时站.601
16720	13464	13433	0	0	0	Y	1	0	断路器	SWITCH_709220051544000	SWITCH_709220051544000	盐田临时站.602
16721	13443	13533	0	0	0	Y	1	0	断路器	SWITCH_709440216673300	SWITCH_709440216673300	盐田临时站.605
16722	13447	13438	0	0	0	Y	1	0	断路器	SWITCH_700000879825302	SWITCH_700000879825302	盐田临时站.604
16723	13509	13497	0	0	0	Y	1	0	断路器	SWITCH_709220302037700	SWITCH_709220302037700	盐田临时站.602
16724	13414	13489	0	0	0	Y	1	0	断路器	SWITCH_700000610311002	SWITCH_700000610311002	盐田临时站.803
16725	13447	13507	0	0	0	Y	1	0	断路器	SWITCH_700000879825402	SWITCH_700000879825402	盐田临时站.605
16726	13474	13518	0	0	0	Y	1	0	断路器	SWITCH_709220307323500	SWITCH_709220307323500	盐田临时站.605
16727	13505	13513	0	0	0	Y	1	0	断路器	SWITCH_700000601054902	SWITCH_700000601054902	盐田临时站.804
16728	13458	13519	0	0	0	Y	1	0	断路器	SWITCH_709220240617800	SWITCH_709220240617800	盐田临时站.61PT
