nd,gisid,mean_p,std_p,max_p,min_p
NODE_709440145084100,700000059267502,0.21703381858902573,0.07610813112679277,0.45740000000000003,0.08070000000000001
NODE_709440146084200,700000062230802,0.1437730575056012,0.08085772752102119,0.32930100000000007,0.032760000000000004
NODE_709220369459900,700000062226202,0.10137765718562874,0.016329670163778547,0.15138900000000002,0.052353000000000004
NODE_709440218959200,700000059261702,0.2656960119492159,0.11099721488125816,0.4628,0.0
NODE_709440145833500,700000076040302,0.2675342419716206,0.024327983951450347,0.3369,0.23070000000000002
NODE_709440145833600,700000076039702,0.2675342419716206,0.024327983951450347,0.3369,0.23070000000000002
NODE_709220366998400,700000065206302,0.03265119492158327,0.008905159849061494,0.0635,0.0
NODE_709220366985800,700000890778802,0.030321612541993274,0.02449774431884816,0.0901,0.0
NODE_709220366986600,700000890781402,0.0028013437849944006,0.0024641443049219884,0.0339,0.0016
NODE_709220366950600,709220121505500,0.02039528266566829,0.016614666376039918,0.124,0.00985
NODE_709220366998700,700000065206502,0.23194534927157265,0.04097484433084077,0.3411,0.0001
NODE_709220366972900,700000853898902,0.08341624765478424,0.021097556240190794,0.17739999999999997,0.0254
NODE_709220366940900,709220268790200,0.05159945669291339,0.02301705169331139,0.19769399999999998,0.012411
NODE_709220404269800,709220404271500,0.002798195242001641,0.0009746267151688,0.015425,0.0011749999999999998
NODE_709440183939400,700000670565702,0.03867938872292756,0.011027467102317428,0.088893,0.011655
NODE_709440183939300,700000670565502,0.04010863605823068,0.010543032509515361,0.089208,0.006489
NODE_709440175985000,709440175981700,0.17044451102788183,0.07548897161569713,0.4008,0.00176
NODE_709440157099800,700000601701202,0.1671913515687852,0.07838487905977007,0.4329,0.030899999999999997
NODE_709440157125400,700000861835602,0.341746713965646,0.13330051357914674,0.6786,0.1704
NODE_709440157111900,700000172133902,0.34174634652725916,0.13330053057669555,0.678573,0.170415
NODE_709440157049300,709220195511700,0.45186445444319456,0.3540557493031329,1.421625,0.09125
NODE_709440157049500,709220195509700,0.45186441694788154,0.3540555671234261,1.4216,0.0912
NODE_709440167759000,709440167756800,7.052857676503546e-05,2.3715326068539996e-05,0.00025,5.5e-05
NODE_709440157081900,700000587466902,0.11638853193873741,0.03747252824295058,0.22469999999999998,0.029300000000000003
NODE_709440156728300,709220337247200,0.0004500373552484123,0.0004672735202210041,0.0029,0.0001
NODE_709440157066100,700000587386202,0.20012682193839215,0.11112283730135603,0.5015999999999999,0.0548
